year,destination_office,origin,indicator,Total Filings
2007,Colombia,World,PA3,5500
2007,Croatia,World,PA3,1326
2007,Cuba,World,PA3,146
2007,Cyprus,World,PA3,452
2007,Czech Republic,World,PA3,15997
2007,Denmark,World,PA3,55216
2007,Ecuador,World,PA3,33
2007,Egypt,World,PA3,300
2007,Estonia,World,PA3,2909
2007,Finland,World,PA3,44378
2007,France,World,PA3,390341
2007,Georgia,World,PA3,1733
2007,Germany,World,PA3,492604
2007,Greece,World,PA3,31896
2007,Guatemala,World,PA3,433
2007,Hungary,World,PA3,10306
2007,Iceland,World,PA3,655
2007,India,World,PA3,29688
2007,Ireland,World,PA3,70166
2007,Israel,World,PA3,21217
2007,Japan,World,PA3,1206335
2007,Kyrgyzstan,World,PA3,297
2007,Lithuania,World,PA3,3801
2007,Malta,World,PA3,2260
2007,Mexico,World,PA3,66865
2007,Monaco,World,PA3,45068
2007,Netherlands (Kingdom of the),World,PA3,138513
2007,New Zealand,World,PA3,34004
2007,Norway,World,PA3,17801
2007,Peru,World,PA3,2239
2007,Poland,World,PA3,17251
2007,Portugal,World,PA3,38895
2007,Republic of Korea,World,PA3,566965
2007,Republic of Moldova,World,PA3,1033
2007,Romania,World,PA3,9263
2007,Russian Federation,World,PA3,129910
2007,Serbia,World,PA3,1274
2007,Singapore,World,PA3,48650
2007,Slovakia,World,PA3,7122
2007,Spain,World,PA3,33428
2007,Sweden,World,PA3,105571
2007,Switzerland,World,PA3,107871
2007,Thailand,World,PA3,6742
2007,United States of America,World,PA3,1815531
2007,Uzbekistan,World,PA3,1568
2007,Zambia,World,PA3,3131
2007,Zimbabwe,World,PA3,252
2008,Armenia,World,PA3,350
2008,Australia,World,PA3,107699
2008,Austria,World,PA3,105129
2008,Barbados,World,PA3,60
2008,Belgium,World,PA3,97402
2008,Bosnia and Herzegovina,World,PA3,329
2008,Brazil,World,PA3,34879
2008,Bulgaria,World,PA3,4981
2008,Canada,World,PA3,129347
2008,Chile,World,PA3,7879
2008,China,World,PA3,337215
2008,"China, Macao SAR",World,PA3,296
2008,Croatia,World,PA3,1563
2008,Cuba,World,PA3,92
2008,Cyprus,World,PA3,454
2008,Czech Republic,World,PA3,19746
2008,Denmark,World,PA3,53997
2008,Estonia,World,PA3,3893
2008,Finland,World,PA3,47027
2008,France,World,PA3,439075
2008,Georgia,World,PA3,1020
2008,Germany,World,PA3,509879
2008,Greece,World,PA3,31975
2008,Guatemala,World,PA3,523
2008,Hungary,World,PA3,11462
2008,Iceland,World,PA3,1031
2008,India,World,PA3,30822
2008,Ireland,World,PA3,78816
2008,Israel,World,PA3,19833
2008,Japan,World,PA3,1270367
2008,Kazakhstan,World,PA3,171
2008,Kyrgyzstan,World,PA3,324
2008,Lithuania,World,PA3,4261
2008,Luxembourg,World,PA3,25152
2008,Madagascar,World,PA3,333
2008,Malta,World,PA3,1667
2008,Mexico,World,PA3,73076
2008,Monaco,World,PA3,50392
2008,Netherlands (Kingdom of the),World,PA3,142451
2008,New Zealand,World,PA3,34233
2008,Norway,World,PA3,17808
2008,Panama,World,PA3,41
2008,Papua New Guinea,World,PA3,1
2008,Peru,World,PA3,2370
2008,Poland,World,PA3,21352
2008,Portugal,World,PA3,39507
2008,Republic of Korea,World,PA3,624419
2008,Republic of Moldova,World,PA3,1049
2008,Romania,World,PA3,10264
2008,Russian Federation,World,PA3,147067
2008,Serbia,World,PA3,1277
2008,Singapore,World,PA3,49636
2008,Slovakia,World,PA3,8980
2008,Slovenia,World,PA3,1570
2008,Spain,World,PA3,169315
2008,Sri Lanka,World,PA3,2171
2008,Sweden,World,PA3,106009
2008,Switzerland,World,PA3,121928
2008,Türkiye,World,PA3,17868
2008,Ukraine,World,PA3,26928
2008,United States of America,World,PA3,1872872
2008,Uzbekistan,World,PA3,1675
2008,Zambia,World,PA3,3381
2008,Zimbabwe,World,PA3,274
2009,Armenia,World,PA3,357
2009,Australia,World,PA3,104644
2009,Austria,World,PA3,103742
2009,Barbados,World,PA3,59
2009,Belgium,World,PA3,91515
2009,Brazil,World,PA3,43089
2009,Bulgaria,World,PA3,5919
2009,Canada,World,PA3,134150
2009,Chile,World,PA3,8319
2009,China,World,PA3,438036
2009,"China, Hong Kong SAR",World,PA3,31718
2009,"China, Macao SAR",World,PA3,508
2009,Croatia,World,PA3,1852
2009,Cyprus,World,PA3,266
2009,Czech Republic,World,PA3,21826
2009,Denmark,World,PA3,50243
2009,Egypt,World,PA3,3082
2009,Estonia,World,PA3,4753
2009,Finland,World,PA3,47294
2009,France,World,PA3,436931
2009,Georgia,World,PA3,1043
2009,Germany,World,PA3,519209
2009,Greece,World,PA3,34020
2009,Guatemala,World,PA3,521
2009,Hungary,World,PA3,12749
2009,Iceland,World,PA3,764
2009,India,World,PA3,37334
2009,Ireland,World,PA3,78916
2009,Israel,World,PA3,32565
2009,Japan,World,PA3,1347998
2009,Lithuania,World,PA3,4876
2009,Luxembourg,World,PA3,280
2009,Madagascar,World,PA3,343
2009,Malta,World,PA3,863
2009,Mexico,World,PA3,74550
2009,Monaco,World,PA3,48991
2009,Mongolia,World,PA3,2513
2009,Netherlands (Kingdom of the),World,PA3,136765
2009,New Zealand,World,PA3,34739
2009,Norway,World,PA3,17245
2009,Panama,World,PA3,2613
2009,Peru,World,PA3,2454
2009,Poland,World,PA3,26327
2009,Portugal,World,PA3,39867
2009,Republic of Korea,World,PA3,637197
2009,Republic of Moldova,World,PA3,1139
2009,Romania,World,PA3,11954
2009,Russian Federation,World,PA3,170264
2009,Serbia,World,PA3,1635
2009,Singapore,World,PA3,45420
2009,Slovakia,World,PA3,8951
2009,Slovenia,World,PA3,1542
2009,Spain,World,PA3,167025
2009,Sweden,World,PA3,102363
2009,Switzerland,World,PA3,120178
2009,Tajikistan,World,PA3,245
2009,Türkiye,World,PA3,21199
2009,Ukraine,World,PA3,24654
2009,United States of America,World,PA3,1930631
2009,Uzbekistan,World,PA3,1674
2009,Zambia,World,PA3,3634
2009,Zimbabwe,World,PA3,289
2010,Albania,World,PA3,349
2010,Armenia,World,PA3,278
2010,Australia,World,PA3,96293
2010,Austria,World,PA3,102113
2010,Barbados,World,PA3,57
2010,Belarus,World,PA3,4444
2010,Belgium,World,PA3,89999
2010,Bosnia and Herzegovina,World,PA3,716
2010,Brazil,World,PA3,40022
2010,Bulgaria,World,PA3,6812
2010,Canada,World,PA3,133355
2010,Chile,World,PA3,8121
2010,China,World,PA3,564760
2010,"China, Hong Kong SAR",World,PA3,33225
2010,"China, Macao SAR",World,PA3,815
2010,Costa Rica,World,PA3,239
2010,Croatia,World,PA3,2134
2010,Cyprus,World,PA3,333
2010,Czech Republic,World,PA3,23415
2010,Denmark,World,PA3,47732
2010,Ecuador,World,PA3,199
2010,Egypt,World,PA3,3316
2010,Estonia,World,PA3,5317
2010,Finland,World,PA3,46622
2010,France,World,PA3,435915
2010,Georgia,World,PA3,1044
2010,Germany,World,PA3,514046
2010,Greece,World,PA3,32120
2010,Guatemala,World,PA3,590
2010,Hungary,World,PA3,13853
2010,Iceland,World,PA3,1892
2010,India,World,PA3,47224
2010,Ireland,World,PA3,79040
2010,Israel,World,PA3,26494
2010,Italy,World,PA3,229648
2010,Japan,World,PA3,1423432
2010,Jordan,World,PA3,312
2010,Kazakhstan,World,PA3,581
2010,Kyrgyzstan,World,PA3,112
2010,Latvia,World,PA3,5680
2010,Lithuania,World,PA3,5202
2010,Luxembourg,World,PA3,42805
2010,Madagascar,World,PA3,387
2010,Malaysia,World,PA3,20908
2010,Malta,World,PA3,832
2010,Mexico,World,PA3,82017
2010,Monaco,World,PA3,53859
2010,Mongolia,World,PA3,2645
2010,Montenegro,World,PA3,264
2010,Netherlands (Kingdom of the),World,PA3,135127
2010,New Zealand,World,PA3,34800
2010,Norway,World,PA3,16534
2010,Panama,World,PA3,378
2010,Peru,World,PA3,2435
2010,Philippines,World,PA3,52527
2010,Poland,World,PA3,30021
2010,Portugal,World,PA3,39076
2010,Republic of Korea,World,PA3,640412
2010,Republic of Moldova,World,PA3,1018
2010,Romania,World,PA3,2915
2010,Russian Federation,World,PA3,181904
2010,Saudi Arabia,World,PA3,1910
2010,Serbia,World,PA3,1477
2010,Singapore,World,PA3,43591
2010,Slovakia,World,PA3,10565
2010,Slovenia,World,PA3,1485
2010,Spain,World,PA3,175687
2010,Sweden,World,PA3,96796
2010,Switzerland,World,PA3,123033
2010,Tajikistan,World,PA3,248
2010,Thailand,World,PA3,10201
2010,Türkiye,World,PA3,24969
2010,Ukraine,World,PA3,24622
2010,United Arab Emirates,World,PA3,113
2010,United Kingdom,World,PA3,413177
2010,United States of America,World,PA3,2017318
2010,Uruguay,World,PA3,877
2010,Uzbekistan,World,PA3,1253
2010,Viet Nam,World,PA3,9103
2010,Zambia,World,PA3,3858
2010,Zimbabwe,World,PA3,310
2011,African Intellectual Property Organization,World,PA3,2939
2011,Albania,World,PA3,2357
2011,Algeria,World,PA3,4625
2011,Armenia,World,PA3,285
2011,Australia,World,PA3,105463
2011,Austria,World,PA3,102551
2011,Barbados,World,PA3,61
2011,Belarus,World,PA3,4842
2011,Belgium,World,PA3,90468
2011,Bosnia and Herzegovina,World,PA3,746
2011,Brazil,World,PA3,41453
2011,Bulgaria,World,PA3,7399
2011,Canada,World,PA3,137368
2011,Chile,World,PA3,8644
2011,China,World,PA3,696939
2011,"China, Hong Kong SAR",World,PA3,34560
2011,"China, Macao SAR",World,PA3,979
2011,Colombia,World,PA3,2979
2011,Costa Rica,World,PA3,245
2011,Croatia,World,PA3,2791
2011,Cuba,World,PA3,228
2011,Cyprus,World,PA3,171
2011,Czech Republic,World,PA3,26081
2011,Denmark,World,PA3,47405
2011,Egypt,World,PA3,3187
2011,Estonia,World,PA3,6071
2011,Finland,World,PA3,47122
2011,France,World,PA3,471362
2011,Georgia,World,PA3,1066
2011,Germany,World,PA3,527917
2011,Greece,World,PA3,30475
2011,Guatemala,World,PA3,636
2011,Honduras,World,PA3,965
2011,Hungary,World,PA3,15390
2011,Iceland,World,PA3,2632
2011,India,World,PA3,41361
2011,Ireland,World,PA3,88044
2011,Israel,World,PA3,24338
2011,Italy,World,PA3,241543
2011,Japan,World,PA3,1542096
2011,Jordan,World,PA3,320
2011,Kazakhstan,World,PA3,16016
2011,Latvia,World,PA3,6170
2011,Lithuania,World,PA3,6173
2011,Luxembourg,World,PA3,44708
2011,Madagascar,World,PA3,417
2011,Malaysia,World,PA3,20917
2011,Malta,World,PA3,432
